Title,Description,Skill: Active Learning,Skill: Active Listening,Skill: Complex Problem Solving,Skill: Coordination,Skill: Critical Thinking,Skill: Equipment Maintenance,Skill: Equipment Selection,Skill: Installation,Skill: Instructing,Skill: Judgment and Decision Making,Skill: Learning Strategies,Skill: Management of Financial Resources,Skill: Management of Material Resources,Skill: Management of Personnel Resources,Skill: Mathematics,Skill: Monitoring,Skill: Negotiation,Skill: Operation and Control,Skill: Operations Analysis,Skill: Operations Monitoring,Skill: Persuasion,Skill: Programming,Skill: Quality Control Analysis,Skill: Reading Comprehension,Skill: Repairing,Skill: Science,Skill: Service Orientation,Skill: Social Perceptiveness,Skill: Speaking,Skill: Systems Analysis,Skill: Systems Evaluation,Skill: Technology Design,Skill: Time Management,Skill: Troubleshooting,Skill: Writing,Knowledge: Administration and Management,Knowledge: Administrative,Knowledge: Biology,Knowledge: Building and Construction,Knowledge: Chemistry,Knowledge: Communications and Media,Knowledge: Computers and Electronics,Knowledge: Customer and Personal Service,Knowledge: Design,Knowledge: Economics and Accounting,Knowledge: Education and Training,Knowledge: Engineering and Technology,Knowledge: English Language,Knowledge: Fine Arts,Knowledge: Food Production,Knowledge: Foreign Language,Knowledge: Geography,Knowledge: History and Archeology,Knowledge: Law and Government,Knowledge: Mathematics,Knowledge: Mechanical,Knowledge: Medicine and Dentistry,Knowledge: Personnel and Human Resources,Knowledge: Philosophy and Theology,Knowledge: Physics,Knowledge: Production and Processing,Knowledge: Psychology,Knowledge: Public Safety and Security,Knowledge: Sales and Marketing,Knowledge: Sociology and Anthropology,Knowledge: Telecommunications,Knowledge: Therapy and Counseling,Knowledge: Transportation,Ability: Arm-Hand Steadiness,Ability: Auditory Attention,Ability: Category Flexibility,Ability: Control Precision,Ability: Deductive Reasoning,Ability: Depth Perception,Ability: Dynamic Flexibility,Ability: Dynamic Strength,Ability: Explosive Strength,Ability: Extent Flexibility,Ability: Far Vision,Ability: Finger Dexterity,Ability: Flexibility of Closure,Ability: Fluency of Ideas,Ability: Glare Sensitivity,Ability: Gross Body Coordination,Ability: Gross Body Equilibrium,Ability: Hearing Sensitivity,Ability: Inductive Reasoning,Ability: Information Ordering,Ability: Manual Dexterity,Ability: Mathematical Reasoning,Ability: Memorization,Ability: Multilimb Coordination,Ability: Near Vision,Ability: Night Vision,Ability: Number Facility,Ability: Oral Comprehension,Ability: Oral Expression,Ability: Originality,Ability: Perceptual Speed,Ability: Peripheral Vision,Ability: Problem Sensitivity,Ability: Rate Control,Ability: Reaction Time,Ability: Response Orientation,Ability: Selective Attention,Ability: Sound Localization,Ability: Spatial Orientation,Ability: Speech Clarity,Ability: Speech Recognition,Ability: Speed of Closure,Ability: Speed of Limb Movement,Ability: Stamina,Ability: Static Strength,Ability: Time Sharing,Ability: Trunk Strength,Ability: Visual Color Discrimination,Ability: Visualization,Ability: Wrist-Finger Speed,Ability: Written Comprehension,Ability: Written Expression,Skill Profile,Knowledge Profile,Ability Profile
Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",3.75,4.0,4.38,4.25,4.38,1.0,1.12,1.0,3.38,4.75,3.12,4.25,4.0,4.25,3.25,4.0,4.12,1.88,3.12,2.0,4.0,1.75,1.88,4.12,1.0,1.62,3.12,4.12,4.25,4.12,4.25,1.75,4.0,1.5,4.12,4.78,2.42,1.74,1.83,1.69,3.02,3.82,4.39,1.91,4.04,3.52,3.05,4.41,1.7,1.14,2.26,2.69,2.16,3.48,3.6,2.1,1.51,4.48,2.35,2.01,2.71,3.09,3.88,3.81,2.88,2.59,1.87,2.26,1.38,2.12,3.5,1.75,4.12,1.75,1.0,1.25,1.0,1.0,3.0,1.5,3.25,3.88,1.25,1.0,1.0,2.12,4.0,4.0,1.0,3.25,2.88,1.75,3.62,1.25,3.12,4.62,4.5,3.75,3.0,1.25,4.0,1.38,1.38,1.38,3.0,1.38,1.38,4.25,4.0,3.0,1.0,1.0,1.0,2.88,1.38,2.0,3.0,1.38,4.25,4.12,"Judgment and Decision Making, Critical Thinking, Complex Problem Solving, Speaking, Coordination, Systems Evaluation, Management of Financial Resources, Management of Personnel Resources, Reading Comprehension, Writing","Administration and Management, Personnel and Human Resources, English Language, Customer and Personal Service, Economics and Accounting, Public Safety and Security, Computers and Electronics, Sales and Marketing, Mathematics, Education and Training","Oral Comprehension, Oral Expression, Written Comprehension, Speech Clarity, Written Expression, Deductive Reasoning, Problem Sensitivity, Inductive Reasoning, Information Ordering, Speech Recognition"
Chief Sustainability Officers,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.",3.75,4.0,4.0,3.75,4.12,1.0,1.12,1.0,3.25,3.88,3.38,2.88,2.25,3.12,2.88,3.75,3.12,2.0,2.88,2.0,3.88,1.88,1.88,4.0,1.0,2.12,3.25,3.88,4.0,3.88,3.88,1.88,3.38,1.0,4.12,4.15,2.62,2.81,3.48,2.37,3.56,2.93,3.41,2.85,3.19,3.41,2.96,4.3,1.63,2.07,1.85,3.07,2.31,3.69,3.0,2.44,1.31,3.0,2.11,2.3,2.19,2.93,2.56,3.15,3.0,1.89,1.81,3.11,1.0,2.0,3.12,1.5,3.88,2.0,1.0,1.0,1.0,1.0,2.88,1.75,2.88,3.88,1.0,1.0,1.0,2.0,3.88,3.62,1.0,2.75,2.38,1.5,3.12,1.0,2.88,4.0,4.0,3.88,2.25,1.0,3.88,1.0,1.0,1.0,3.12,1.0,1.0,4.0,4.0,2.38,1.0,1.0,1.0,2.62,1.38,2.12,2.75,1.12,4.0,4.12,"Writing, Critical Thinking, Reading Comprehension, Active Listening, Speaking, Complex Problem Solving, Social Perceptiveness, Persuasion, Judgment and Decision Making, Systems Analysis","English Language, Administration and Management, Law and Government, Communications and Media, Building and Construction, Customer and Personal Service, Education and Training, Economics and Accounting, Sales and Marketing, Transportation","Written Expression, Oral Comprehension, Written Comprehension, Oral Expression, Speech Recognition, Speech Clarity, Fluency of Ideas, Originality, Problem Sensitivity, Deductive Reasoning"
General and Operations Managers,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.",3.62,4.0,3.62,3.88,3.88,1.0,1.0,1.0,3.0,3.62,3.0,3.0,3.12,3.75,2.62,4.0,3.5,1.88,2.5,2.25,3.62,1.5,2.38,4.0,1.0,1.5,3.25,3.75,4.0,3.12,3.12,1.5,3.62,1.75,3.5,4.25,3.21,1.21,2.2,1.91,2.39,2.67,4.15,2.32,3.2,2.79,2.9,3.7,1.28,1.32,1.4,1.46,1.35,2.56,3.53,2.85,1.2,3.44,1.23,1.98,3.57,2.53,2.74,2.99,1.93,1.85,1.6,2.21,1.62,2.12,3.38,1.12,3.88,1.88,1.0,1.12,1.38,1.25,2.62,1.5,2.62,3.25,1.0,1.5,1.38,1.75,3.5,3.5,1.5,2.88,2.25,1.5,3.5,1.12,2.88,4.0,4.0,3.12,2.38,1.25,3.88,1.0,1.62,1.0,2.88,1.25,1.5,3.88,3.62,2.38,1.0,1.62,1.5,2.75,2.12,1.88,2.75,1.75,4.0,4.0,"Reading Comprehension, Active Listening, Speaking, Monitoring, Critical Thinking, Coordination, Social Perceptiveness, Management of Personnel Resources, Active Learning, Persuasion","Administration and Management, Customer and Personal Service, English Language, Production and Processing, Mathematics, Personnel and Human Resources, Administrative, Economics and Accounting, Sales and Marketing, Engineering and Technology","Oral Comprehension, Written Comprehension, Oral Expression, Written Expression, Problem Sensitivity, Deductive Reasoning, Speech Clarity, Speech Recognition, Inductive Reasoning, Information Ordering"
Advertising and Promotions Managers,"Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.",3.25,4.12,3.5,3.5,4.0,1.0,1.12,1.0,2.88,3.75,3.0,2.75,2.62,3.12,3.0,3.25,3.12,1.0,2.75,1.62,3.38,1.75,1.62,3.75,1.0,1.62,3.12,4.0,4.0,3.12,3.12,1.75,3.5,1.0,3.75,4.12,3.25,1.23,1.44,1.22,4.35,3.31,4.16,2.79,3.04,2.94,1.91,4.41,2.35,1.04,1.58,1.99,1.67,2.23,3.16,1.41,1.42,2.6,1.89,1.34,2.58,2.87,2.47,4.68,2.5,2.4,1.75,1.95,1.38,1.75,3.38,1.12,3.88,1.75,1.0,1.0,1.0,1.0,2.88,1.62,3.12,3.75,1.0,1.0,1.0,1.75,3.5,3.25,1.38,3.0,2.5,1.0,3.75,1.0,2.88,4.0,4.25,3.75,2.88,1.0,3.62,1.0,1.0,1.0,2.88,1.0,1.0,4.0,3.88,2.62,1.0,1.0,1.0,2.75,1.62,2.88,3.25,1.75,4.0,3.88,"Active Listening, Speaking, Critical Thinking, Social Perceptiveness, Reading Comprehension, Writing, Judgment and Decision Making, Coordination, Complex Problem Solving, Time Management","Sales and Marketing, English Language, Communications and Media, Customer and Personal Service, Administration and Management, Computers and Electronics, Administrative, Mathematics, Economics and Accounting, Education and Training","Oral Expression, Oral Comprehension, Written Comprehension, Speech Clarity, Written Expression, Deductive Reasoning, Speech Recognition, Fluency of Ideas, Originality, Near Vision"
Marketing Managers,"Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services.",3.88,3.88,3.62,3.5,3.88,1.0,1.0,1.0,3.0,3.75,3.12,2.88,2.62,3.38,2.75,3.75,3.62,1.0,3.38,1.75,3.75,1.88,1.88,3.88,1.0,1.75,3.12,3.88,3.88,3.25,3.5,1.75,3.5,1.0,3.25,4.04,3.01,1.1,1.19,1.21,3.8,3.51,3.85,3.15,3.1,3.03,2.77,4.48,1.7,1.12,1.64,2.2,1.68,2.86,3.51,1.33,1.26,2.71,1.64,1.18,2.46,2.45,2.5,4.85,2.03,2.86,1.63,1.68,1.12,1.88,3.25,1.0,3.88,1.75,1.0,1.25,1.0,1.0,2.88,1.75,3.0,3.75,1.0,1.0,1.0,1.88,3.75,3.25,1.0,3.12,2.62,1.0,3.5,1.0,3.12,4.0,4.0,3.62,2.75,1.0,3.62,1.0,1.0,1.0,2.88,1.0,1.0,3.75,3.62,2.75,1.0,1.0,1.0,2.75,1.75,2.88,3.0,1.62,4.0,3.88,"Reading Comprehension, Active Listening, Speaking, Critical Thinking, Active Learning, Social Perceptiveness, Monitoring, Persuasion, Judgment and Decision Making, Negotiation","Sales and Marketing, English Language, Administration and Management, Customer and Personal Service, Communications and Media, Computers and Electronics, Mathematics, Design, Economics and Accounting, Education and Training","Oral Comprehension, Written Comprehension, Oral Expression, Written Expression, Deductive Reasoning, Fluency of Ideas, Inductive Reasoning, Speech Clarity, Originality, Problem Sensitivity"
Sales Managers,"Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers.",3.75,4.0,3.75,3.88,3.88,1.0,1.0,1.0,3.62,3.75,3.25,3.0,2.88,3.75,3.0,3.75,3.88,1.75,2.62,1.75,4.12,1.62,1.75,3.88,1.0,1.62,3.88,3.88,4.0,3.62,3.62,1.75,3.5,1.0,3.62,4.0,2.91,1.35,1.65,1.39,3.17,3.17,4.48,1.83,2.91,3.35,2.13,4.32,1.35,1.04,1.78,2.26,1.22,2.04,3.09,1.87,1.04,3.04,1.57,1.52,2.65,2.68,1.87,4.7,1.86,2.73,1.57,2.22,1.38,2.0,3.25,1.62,3.88,1.62,1.0,1.0,1.0,1.0,2.62,1.75,2.75,3.75,1.12,1.0,1.0,1.75,3.75,3.38,1.5,3.12,3.0,1.5,3.25,1.12,3.12,4.0,4.0,3.62,2.5,1.12,3.75,1.12,1.12,1.38,2.62,1.12,1.5,3.88,3.88,2.75,1.12,1.0,1.0,2.62,1.75,1.88,2.38,1.5,4.0,3.88,"Persuasion, Active Listening, Speaking, Reading Comprehension, Critical Thinking, Social Perceptiveness, Coordination, Negotiation, Service Orientation, Active Learning","Sales and Marketing, Customer and Personal Service, English Language, Administration and Management, Education and Training, Computers and Electronics, Communications and Media, Mathematics, Personnel and Human Resources, Administrative","Oral Comprehension, Written Comprehension, Oral Expression, Written Expression, Deductive Reasoning, Speech Recognition, Speech Clarity, Fluency of Ideas, Problem Sensitivity, Inductive Reasoning"
Administrative Services Managers,"Plan, direct, or coordinate one or more administrative services of an organization, such as records and information management, mail distribution, and other office support services.",3.12,4.0,3.25,3.75,3.75,1.0,1.12,1.0,3.0,3.25,3.0,2.88,2.88,3.38,2.25,3.38,3.62,1.62,2.75,2.25,3.0,1.38,2.25,4.0,1.0,1.0,3.25,3.25,3.88,3.12,2.75,1.5,4.0,1.88,3.75,4.24,3.9,1.37,2.29,1.52,2.4,3.35,4.44,2.1,2.92,2.84,2.06,4.03,1.13,1.27,1.37,1.51,1.42,2.88,3.26,2.33,1.78,3.35,1.49,1.6,2.89,2.07,3.29,1.95,1.76,2.63,1.74,1.94,2.12,2.25,3.12,2.0,3.62,2.0,1.0,1.5,1.5,1.5,2.75,2.5,2.88,3.12,1.5,1.5,1.5,2.12,3.5,3.12,2.0,2.62,2.62,1.62,3.62,1.5,2.75,4.0,4.0,3.0,2.75,1.5,3.5,1.62,1.5,1.5,3.12,1.5,1.5,3.62,3.62,2.12,1.0,1.38,1.62,3.12,1.75,2.0,2.88,1.25,4.0,3.88,"Reading Comprehension, Active Listening, Time Management, Speaking, Writing, Critical Thinking, Coordination, Negotiation, Monitoring, Management of Personnel Resources","Customer and Personal Service, Administration and Management, English Language, Administrative, Personnel and Human Resources, Computers and Electronics, Public Safety and Security, Mathematics, Economics and Accounting, Production and Processing","Oral Comprehension, Written Comprehension, Oral Expression, Written Expression, Deductive Reasoning, Near Vision, Speech Recognition, Speech Clarity, Problem Sensitivity, Inductive Reasoning"
Facilities Managers,"Plan, direct, or coordinate operations and functionalities of facilities and buildings. May include surrounding grounds or multiple facilities of an organization's campus.",3.12,3.75,3.38,3.62,3.75,2.38,2.25,1.12,3.25,3.5,3.0,2.5,2.75,3.5,2.75,3.75,3.0,2.25,1.88,2.88,3.12,1.62,2.88,3.75,2.25,1.5,3.0,3.62,3.88,3.0,3.0,1.62,3.38,2.62,3.25,4.21,3.31,2.11,3.32,2.77,2.63,3.25,4.37,2.39,2.9,3.27,3.05,3.77,1.26,1.52,1.74,2.28,1.44,2.75,3.11,3.36,1.98,3.41,1.68,2.47,2.64,3.29,3.47,2.22,2.46,2.75,2.67,2.99,2.62,2.38,3.12,2.38,3.62,2.38,1.25,1.88,1.88,2.25,3.12,2.38,2.88,2.88,1.75,1.88,1.88,2.12,3.62,3.75,2.5,2.75,2.5,2.12,3.5,1.75,2.62,3.75,3.75,2.75,2.75,2.12,3.75,1.88,2.0,2.0,2.88,1.75,2.5,3.5,3.62,2.5,1.12,2.12,2.0,2.62,2.62,2.38,2.62,2.12,3.75,3.62,"Speaking, Reading Comprehension, Active Listening, Critical Thinking, Monitoring, Social Perceptiveness, Coordination, Judgment and Decision Making, Management of Personnel Resources, Complex Problem Solving","Customer and Personal Service, Administration and Management, English Language, Public Safety and Security, Personnel and Human Resources, Mechanical, Building and Construction, Administrative, Psychology, Education and Training","Oral Comprehension, Written Comprehension, Oral Expression, Problem Sensitivity, Information Ordering, Written Expression, Deductive Reasoning, Inductive Reasoning, Speech Recognition, Near Vision"
Computer and Information Systems Managers,"Plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming.",3.38,4.0,3.75,3.75,4.12,1.38,1.88,1.0,3.12,3.88,3.25,3.0,2.75,3.62,3.12,3.88,3.0,2.0,3.12,2.88,3.12,2.75,2.75,4.0,1.5,1.75,2.88,3.62,3.88,3.62,3.62,2.5,3.38,2.5,3.75,3.7,2.48,1.01,1.24,1.23,2.16,4.77,4.05,2.61,2.15,3.05,3.5,3.48,1.42,1.0,1.28,2.24,1.03,2.12,3.16,1.38,1.02,3.42,1.23,1.61,1.78,2.22,1.94,1.92,1.9,2.63,1.44,1.18,2.25,2.0,3.25,2.0,4.0,1.75,1.0,1.5,1.0,1.0,2.75,2.12,3.0,3.38,1.12,1.0,1.0,1.75,4.0,3.75,2.12,3.0,2.62,1.38,3.75,1.0,3.12,4.0,4.0,3.25,2.75,1.0,4.0,1.25,1.25,1.25,2.88,1.0,1.12,3.62,3.38,2.75,1.0,1.0,1.0,2.62,1.75,2.38,3.0,2.0,4.0,3.75,"Critical Thinking, Reading Comprehension, Active Listening, Speaking, Monitoring, Judgment and Decision Making, Writing, Coordination, Complex Problem Solving, Social Perceptiveness","Computers and Electronics, Customer and Personal Service, Administration and Management, Engineering and Technology, English Language, Personnel and Human Resources, Mathematics, Education and Training, Telecommunications, Design","Oral Comprehension, Written Comprehension, Oral Expression, Problem Sensitivity, Deductive Reasoning, Inductive Reasoning, Written Expression, Information Ordering, Near Vision, Speech Clarity"
Financial Managers,"Plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment.",3.5,4.0,3.62,3.62,4.0,1.0,1.25,1.0,2.88,3.62,3.0,3.12,2.38,3.62,3.5,3.75,3.12,1.12,1.75,1.88,3.38,1.88,1.88,4.0,1.0,1.25,3.62,3.62,4.0,3.0,3.0,1.62,3.62,1.25,3.75,4.33,3.7,1.0,1.29,1.0,2.74,3.25,4.66,1.33,4.07,3.29,1.29,3.32,1.02,1.08,1.69,1.56,1.2,3.6,3.73,1.36,1.01,3.5,1.59,1.0,1.89,2.25,2.19,3.35,1.64,1.73,1.34,1.35,1.75,2.0,3.12,1.25,4.0,1.5,1.0,1.0,1.0,1.0,2.25,1.75,3.25,3.38,1.0,1.0,1.0,1.5,3.88,3.75,1.75,3.5,2.5,1.0,3.75,1.12,3.5,4.12,4.12,2.88,2.88,1.12,3.88,1.0,1.0,1.0,2.75,1.12,1.0,4.0,3.75,3.0,1.0,1.12,1.0,2.25,1.88,1.38,2.12,2.0,4.12,3.88,"Reading Comprehension, Active Listening, Speaking, Critical Thinking, Writing, Monitoring, Social Perceptiveness, Coordination, Service Orientation, Complex Problem Solving","Customer and Personal Service, Administration and Management, Economics and Accounting, Mathematics, Administrative, Law and Government, Personnel and Human Resources, Sales and Marketing, English Language, Education and Training","Oral Comprehension, Written Comprehension, Oral Expression, Deductive Reasoning, Speech Clarity, Written Expression, Problem Sensitivity, Inductive Reasoning, Information Ordering, Near Vision"
