Title,Description,skill_profile,corpus
Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.","Judgment and Decision Making, Critical Thinking, Complex Problem Solving, Speaking, Coordination, Systems Evaluation, Management of Financial Resources, Management of Personnel Resources, Reading Comprehension, Writing","chief executives is a job whose key responsibility is to determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.. the required skills are judgment and decision making, critical thinking, complex problem solving, speaking, coordination, systems evaluation, management of financial resources, management of personnel resources, reading comprehension, writing"
Chief Sustainability Officers,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.","Writing, Critical Thinking, Reading Comprehension, Active Listening, Speaking, Complex Problem Solving, Social Perceptiveness, Persuasion, Judgment and Decision Making, Systems Analysis","chief sustainability officers is a job whose key responsibility is to communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. enact or oversee a corporate sustainability strategy.. the required skills are writing, critical thinking, reading comprehension, active listening, speaking, complex problem solving, social perceptiveness, persuasion, judgment and decision making, systems analysis"
General and Operations Managers,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.","Reading Comprehension, Active Listening, Speaking, Monitoring, Critical Thinking, Coordination, Social Perceptiveness, Management of Personnel Resources, Active Learning, Persuasion","general and operations managers is a job whose key responsibility is to plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. usually manage through subordinate supervisors. excludes first-line supervisors.. the required skills are reading comprehension, active listening, speaking, monitoring, critical thinking, coordination, social perceptiveness, management of personnel resources, active learning, persuasion"
Advertising and Promotions Managers,"Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.","Active Listening, Speaking, Critical Thinking, Social Perceptiveness, Reading Comprehension, Writing, Judgment and Decision Making, Coordination, Complex Problem Solving, Time Management","advertising and promotions managers is a job whose key responsibility is to plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.. the required skills are active listening, speaking, critical thinking, social perceptiveness, reading comprehension, writing, judgment and decision making, coordination, complex problem solving, time management"
Marketing Managers,"Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services.","Reading Comprehension, Active Listening, Speaking, Critical Thinking, Active Learning, Social Perceptiveness, Monitoring, Persuasion, Judgment and Decision Making, Negotiation","marketing managers is a job whose key responsibility is to plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. oversee product development or monitor trends that indicate the need for new products and services.. the required skills are reading comprehension, active listening, speaking, critical thinking, active learning, social perceptiveness, monitoring, persuasion, judgment and decision making, negotiation"
Sales Managers,"Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers.","Persuasion, Active Listening, Speaking, Reading Comprehension, Critical Thinking, Social Perceptiveness, Coordination, Negotiation, Service Orientation, Active Learning","sales managers is a job whose key responsibility is to plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers.. the required skills are persuasion, active listening, speaking, reading comprehension, critical thinking, social perceptiveness, coordination, negotiation, service orientation, active learning"
Administrative Services Managers,"Plan, direct, or coordinate one or more administrative services of an organization, such as records and information management, mail distribution, and other office support services.","Reading Comprehension, Active Listening, Time Management, Speaking, Writing, Critical Thinking, Coordination, Negotiation, Monitoring, Management of Personnel Resources","administrative services managers is a job whose key responsibility is to plan, direct, or coordinate one or more administrative services of an organization, such as records and information management, mail distribution, and other office support services.. the required skills are reading comprehension, active listening, time management, speaking, writing, critical thinking, coordination, negotiation, monitoring, management of personnel resources"
Facilities Managers,"Plan, direct, or coordinate operations and functionalities of facilities and buildings. May include surrounding grounds or multiple facilities of an organization's campus.","Speaking, Reading Comprehension, Active Listening, Critical Thinking, Monitoring, Social Perceptiveness, Coordination, Judgment and Decision Making, Management of Personnel Resources, Complex Problem Solving","facilities managers is a job whose key responsibility is to plan, direct, or coordinate operations and functionalities of facilities and buildings. may include surrounding grounds or multiple facilities of an organization's campus.. the required skills are speaking, reading comprehension, active listening, critical thinking, monitoring, social perceptiveness, coordination, judgment and decision making, management of personnel resources, complex problem solving"
Computer and Information Systems Managers,"Plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming.","Critical Thinking, Reading Comprehension, Active Listening, Speaking, Monitoring, Judgment and Decision Making, Writing, Coordination, Complex Problem Solving, Social Perceptiveness","computer and information systems managers is a job whose key responsibility is to plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming.. the required skills are critical thinking, reading comprehension, active listening, speaking, monitoring, judgment and decision making, writing, coordination, complex problem solving, social perceptiveness"
Financial Managers,"Plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment.","Reading Comprehension, Active Listening, Speaking, Critical Thinking, Writing, Monitoring, Social Perceptiveness, Coordination, Service Orientation, Complex Problem Solving","financial managers is a job whose key responsibility is to plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment.. the required skills are reading comprehension, active listening, speaking, critical thinking, writing, monitoring, social perceptiveness, coordination, service orientation, complex problem solving"
