O*NET-SOC Code,Task,Category,Original Task ID,Original Task,Date,Domain Source
11-3013.00,"Plan, create, and manage budgets for contracts, equipment, and supplies.",Revision,21280.0,"Plan, administer, and control budgets for contracts, equipment, and supplies.",08/2024,Incumbent
11-3013.00,Review and approve payroll for employees.,New,,,08/2024,Incumbent
11-3051.02,Conduct employee safety training.,New,,,07/2011,Incumbent
11-3051.06,Train employees in power plant operations.,New,,,07/2016,Incumbent
11-3131.00,"Confer with management or stakeholders and conduct surveys to identify training needs based on projected production processes, changes, and other factors.",Revision,1012.0,"Confer with management and conduct surveys to identify training needs based on projected production processes, changes, and other factors.",08/2024,Occupational Expert
11-3131.00,"Evaluate instructor performance and the effectiveness of training programs, providing data and recommendations for improvement.",Revision,1009.0,"Evaluate instructor performance and the effectiveness of training programs, providing recommendations for improvement.",08/2024,Occupational Expert
11-3131.00,"Train instructors, supervisors, and other leaders in techniques and skills for training and interacting with employees.",Revision,1017.0,Train instructors and supervisors in techniques and skills for training and dealing with employees.,08/2024,Occupational Expert
11-9071.00,"Monitor the performance of the gaming floor, relocating games and installing new games as necessary.",New,,,08/2023,Incumbent
11-9199.01,"Develop and review regulatory strategies, development plans, and implementation plans for the preparation and submission of new products.",Revision,18026.0,Develop regulatory strategies and implementation plans for the preparation and submission of new products.,08/2024,Occupational Expert
13-1032.00,Contact vendors to locate replacement parts for vehicles.,New,,,07/2016,Incumbent
13-1032.00,Discuss insurance claims with customers or damage claimants.,New,,,07/2016,Incumbent
13-1032.00,Review repair cost estimates and negotiate with automobile repair shops to secure agreement on cost of repairs.,Revision,7247.0,Review repair cost estimates with automobile repair shop to secure agreement on cost of repairs.,07/2016,Incumbent
13-1041.03,"Develop guidelines for nondiscriminatory employment practices, such as affirmative action plans and equal opportunity employment policies.",Revision,20722.0,Develop guidelines for nondiscriminatory employment practices.,07/2015,Incumbent
13-1041.03,"Train employees on equal opportunity laws, guidelines, or policies, such as discrimination, diversity, harassment, or affirmative action.",New,,,07/2015,Incumbent
13-1041.06,"Complete or review death certificates, including the assignment of cause and manner of death.",Revision,8915.0,"Complete death certificates, including the assignment of cause and manner of death.",08/2024,Occupational Expert
13-1041.06,"Observe and record the positions and conditions of bodies and related evidence at the scene, through documentation or photographs.",Revision,8916.0,Observe and record the positions and conditions of bodies and related evidence.,08/2024,Occupational Expert
13-1041.07,Develop regulatory strategies for products.,New,,,08/2019,Occupational Expert
13-1121.00,"Contact potential clients, meet with professional and trade associations, and produce brochures and other publications to promote conference, convention, and trade show services.",Revision,1228.0,"Promote conference, convention and trades show services by performing tasks such as meeting with professional and trade associations, and producing brochures and other publications.",07/2016,Incumbent
13-1121.00,"Plan and develop programs, agendas, budgets, menus, and services according to customer requirements.",Revision,1213.0,"Plan and develop programs, agendas, budgets, and services according to customer requirements.",07/2016,Incumbent
13-1199.05,Deliver sustainability training to employees.,New,,,08/2020,Occupational Expert
13-2031.00,Communicate financial reports and budgets to stakeholders.,New,,,08/2024,Incumbent
13-2031.00,Submit and monitor salary raises.,New,,,08/2024,Incumbent
13-2053.00,Answer agents' questions about insurance coverage.,New,,,08/2018,Occupational Expert
15-1211.00,Write code to perform desired actions.,New,,,08/2023,Incumbent
15-2011.00,Analyze data to determine premium rates required and cash reserves and liabilities necessary to ensure payment of future benefits.,Revision,3500.0,Ascertain premium rates required and cash reserves and liabilities necessary to ensure payment of future benefits.,08/2023,Occupational Expert
